,CompanyName:,BusinessintheStateof:,HIOSIssuerID:,MEMBER_MONTHS_INDIVIDUAL:,MEMBER_MONTHS_SMALL_GROUP,EXPECTED_REINSURANCE,EXPECTED_RISK_ADJUSTMENT_INDIVIDUAL,EXPECTED_RISK_ADJUSTMENT_SMALL_GROUP,REINSURANCE PAYMENT AMOUNT (OR NOT ELIGIBLE),"HHS RISK ADJUSTMENT TRANSFER AMOUNT (INDIVIDUAL MARKET, INCLUDING CATASTROPHIC)",HHS RISK ADJUSTMENT TRANSFERS AMOUNT (SMALL GROUP MARKET),Not-For-Profit:
2880,United Healthcare Life Insurance Company,Connecticut,85732,0.0,0.0,0.0,0.0,0.0,,,,No
2881,UCare Minnesota,Minnesota,85736,5906.0,,311887.0,927745.0,,"$311,887.29 ","$927,744.90 ",$-,Yes
2882,AMERICAN FIDELITY ASSURANCE COMPANY,California,85744,,,,,,,,,No
2883,UnitedHealthcare Insurance Company,Oklahoma,85757,5172.0,266759.0,0.0,-282.49,-2256609.64,N/E,$-,"($2,256,892.13)",No
2884,American National Insurance Company,Florida,85774,441.0,,0.0,0.0,,,,,No
2885,Trustmark Insurance Company,South Dakota,85785,,,,,,,,,No
2886,LifeWise Health Plan of Oregon,Oregon,85804,200231.0,124411.0,8722378.0,2582812.0,550216.0,"$8,722,377.76 ","$2,582,812.50 ","$550,216.10 ",No
2887,Sanford Health Plan,Iowa,85930,,1964.0,,,36341.21,N/E,$-,"$36,341.21 ",Yes
2888,All Savers Insurance Company,Texas,85947,0.0,0.0,0.0,0.0,0.0,,,,No
2889,National Foundation Life Insurance Company,North Carolina,85958,8474.0,,0.0,0.0,,,,,No
2890,United Teachers Associates,Hawaii,85983,12.0,,,,,,,,No
2891,John Alden Life Insurance Company,New Jersey,85989,0.0,0.0,0.0,0.0,0.0,,,,No
2892,Unified Life Insurance Company,Oklahoma,85990,0.0,,0.0,0.0,,,,,No
2893,Connecticut General Life Insurance Company,Northern Mariana Islands,85994,0.0,0.0,0.0,0.0,0.0,,,,No
2894,"CareFirst BlueChoice, Inc.",District of Columbia,86052,85443.0,411734.0,1900356.26,-1007058.65,-6732251.48,"$1,900,356.26 ","($1,007,058.65)","($6,732,251.48)",No
2895,Companion Life Insurance Company,Kansas,86067,11499.0,,,,,,,,No
2896,American Family Mutual Insurance Company,Iowa,86082,1224.0,,,,,,,,No
2897,The Prudential Insurance Company of America,Nebraska,86104,,,,,,,,,No
2898,American Heritage Life Insurance Company,United States Virgin Islands,86124,,,,,,,,,No
2899,Kanawha Insurance Company ,Tennessee,86134,812.0,,,,,,,,No
2900,New York Life Insurance Company,Florida,86171,24.0,,,,,,,,No
2901,"Sierra Health and Life Insurance Company, Inc.",Missouri,86178,0.0,0.0,0.0,0.0,0.0,,,,No
2902,Union Fidelity Life Insurance Company,Arizona,86228,,,,,,,,,No
2903,The Prudential Insurance Company of America,Puerto Rico,86258,,,,,,,,,No
2904,Celtic Insurance Company,Maine,86305,8.0,,0.0,0.0,,,,,No
2905,"Sierra Health and Life Insurance Company, Inc.",Colorado,86310,0.0,0.0,0.0,0.0,0.0,,,,No
2906,Liberty National Life Insurance Co,California,86321,,,,,,,,,No
2907,Mid-West National Life Insurance Company of Tennessee,California,86364,121190.0,0.0,0.0,0.0,0.0,,,,No
2908,Sunshine State Health Plan,Florida,86382,3460.0,,0.0,-198355.63,,$0.00 ,"($198,355.63)",$-,No
2909,United Teachers Associates,North Carolina,86385,,,,,,,,,No
2910,UnitedHealthcare Insurance Company,New York,86393,0.0,0.0,0.0,0.0,0.0,,,,No
2911,TransAmerica Premier Life Insurance,Kansas,86427,,,,,,,,,No
2912,"Innovation Health Plan, Inc.",Virginia,86443,264.0,62394.0,0.0,0.0,-2752451.2,N/E,$-,"($2,752,451.20)",No
2913,Aetna Life Insurance Company,Vermont,86487,14.0,0.0,0.0,0.0,0.0,,,,No
2914,Golden Rule Insurance Company,North Carolina,86508,86159.0,0.0,0.0,0.0,0.0,,,,No
2915,Companion Life Insurance Company,District of Columbia,86532,709.0,,,,,,,,No
2916,Time Insurance Company,Connecticut,86542,32592.0,0.0,2907270.0,1253125.0,0.0,"$2,907,270.19 ","$1,253,125.49 ",$-,No
2917,"Anthem Health Plans, Inc.",Connecticut,86545,709141.0,882121.0,53879332.07,13893512.0,1456631.0,"$53,879,332.07 ","$13,893,512.78 ","$1,456,630.51 ",No
2918,Golden Rule Insurance Company,Washington,86557,0.0,0.0,0.0,0.0,0.0,,,,No
2919,Reliance Standard Life Insurance Company,Wisconsin,86572,,,,,,,,,No
2920,Aetna Life Insurance Company,Arkansas,86597,786.0,472.0,0.0,0.0,0.0,,,,No
2921,Connecticut General Life Insurance Company,Delaware,86622,0.0,0.0,0.0,0.0,0.0,,,,No
2922,"GOOD HEALTH HMO, INC. d/b/a BLUE CARE, INC.",Missouri,86686,840.0,29216.0,,,,,,,Yes
2923,Union Security Insurance Company,North Dakota,86699,0.0,0.0,0.0,0.0,0.0,,,,No
2924,Humana Insurance Company,Maryland,86746,,,,,,,,,No
2925,Cigna Health and Life Insurance Company,Arizona,86830,16576.0,1883.0,4060861.0,1978320.0,-24006.0,"$4,060,861.27 ","$1,978,320.29 ","($24,005.57)",No
2926,Wilton Reassurance Company,New Mexico,86854,1245.0,,,,,,,,No
2927,Kanawha Insurance Company ,California,86859,864.0,,,,,,,,No
2928,"Madison National Life Insurance Company, Inc.",Wyoming,86866,6553.0,8474.0,,,,,,,No
2929,American Republic Insurance Company,Iowa,86870,,,,,,,,,No
2930,Illinois Mutual Life Insurance Company,Wisconsin,86892,,,,,,,,,No
2931,United American Insurance Co,Michigan,86913,,,,,,,,,No
2932,Connecticut General Life Insurance Company,Texas,86924,339461.0,292.0,0.0,0.0,0.0,,,,No
2933,United Healthcare Life Insurance Company,Montana,87061,0.0,0.0,0.0,0.0,0.0,,,,No
2934,American National Life Insurance Company of Texas,West Virginia,87124,455.0,,0.0,0.0,,,,,No
2935,Celtic Insurance Company,Iowa,87194,377.0,,0.0,-1222.36,,$0.00 ,"($1,222.36)",$-,No
2936,American Income Life Insurance Co,Missouri,87213,,,,,,,,,No
2937,Superior Health Plan,Texas,87226,14103.0,,280267.01,-933830.98,,"$280,267.01 ","($933,830.98)",$-,No
2938,Wilton Reassurance Company,Arkansas,87244,860.0,,,,,,,,No
2939,Globe Life and Accident Insurance Co,Ohio,87246,,,,,,,,,No
2940,Symetra Life Insurance Company,Minnesota,87260,,,,,,,,,No
2941,"Rocky Mountain Hospital and Medical Service, Inc., dba Anthem Blue Cross and Blue Shield",Colorado,87269,751693.0,722035.0,0.0,0.0,2272512.0,N/E,$-,"$2,272,512.47 ",No
2942,National Foundation Life Insurance Company,Michigan,87318,60.0,,0.0,0.0,,,,,No
2943,AMERICAN FIDELITY ASSURANCE COMPANY,District of Columbia,87346,,,,,,,,,No
2944,Cigna Health and Life Insurance Company,Connecticut,87354,7558.0,5600.0,1443524.0,-45977.0,0.0,"$1,443,523.59 ","($45,977.45)",$-,No
2945,The Guardian Life Insurance Company of America,Louisiana,87390,273.0,,,,,,,,No
2946,The United States Life Ins. Co. in the City of New York,New York,87414,842480.0,,,,,,,,No
2947,Common Ground Healthcare Cooperative,Wisconsin,87416,241900.0,7958.0,37246349.0,-21936045.0,-1311260.0,"$37,246,349.07 ","($21,936,044.54)","($1,311,259.94)",Yes
2948,United American Insurance Co,Wyoming,87430,,,,,,,,,No
2949,Wilton Reassurance Company,Puerto Rico,87432,60.0,,,,,,,,No
2950,Philadelphia American Life Insurance Company,Texas,87445,213.0,,,,,,,,No
2951,John Alden Life Insurance Company,Nevada,87446,1849.0,8074.0,0.0,0.0,-153096.0,N/E,$-,"($153,107.91)",No
2952,Celtic Insurance Company,Rhode Island,87494,0.0,,0.0,0.0,,,,,No
2953,American Republic Insurance Company,Florida,87527,,,,,,,,,No
2954,"Madison National Life Insurance Company, Inc.",Alabama,87535,0.0,,,,,,,,No
2955,American Income Life Insurance Co,Montana,87561,,,,,,,,,No
2956,"Health Care Service Corporation, a Mutual Legal Reserve Company",Oklahoma,87571,1530042.0,1415200.0,58988045.78,-912836.76,5538080.47,"$58,988,045.78 ","($912,836.76)","$5,538,080.47 ",Yes
2957,New York Life Insurance Company,Virginia,87585,60.0,,,,,,,,No
2958,Globe Life and Accident Insurance Co,California,87645,,,,,,,,,No
2959,Time Insurance Company,North Carolina,87696,93145.0,2287.0,2823900.0,12960.0,-109749.0,"$2,823,899.85 ","$12,959.79 ","($109,748.65)",No
2960,CommunityCare Life & Health Insurance Company,Oklahoma,87698,2310.0,66286.0,,,-437674.0,N/E,$-,"($437,673.74)",No
2961,"Humana Benefit Plan of Illinois, Inc.",Illinois,87715,,,,,,,,,No
2962,Regence BlueShield,Washington,87718,634134.0,508653.0,58586000.0,32594721.0,15618187.0,"$58,586,000.12 ","$32,511,257.78 ","$15,701,650.08 ",Yes
2963,Liberty Mutual Insurance Company,Maine,87736,,,,,,,,,No
2964,The Prudential Insurance Company of America,Delaware,87739,,,,,,,,,No
2965,Kanawha Insurance Company ,New Jersey,87740,671.0,,,,,,,,No
2966,Thrivent Financial for Lutherans,South Dakota,87743,,,,,,,,,No
2967,PacifiCare Life and Health Insurance Co,Missouri,87752,0.0,0.0,0.0,0.0,0.0,,,,No
2968,The United States Life Ins. Co. in the City of New York,Maine,87756,2327.0,,,,,,,,No
2969,PacifiCare Life and Health Insurance Co,Wisconsin,87759,0.0,0.0,0.0,0.0,0.0,,,,No
2970,Liberty National Life Insurance Co,New Mexico,87809,,,,,,,,,No
2971,Life of America,Georgia,87844,37.0,,,,,,,,No
2972,Celtic Insurance Company,District of Columbia,87881,191.0,,0.0,0.0,,,,,No
2973,Southwest Life & Health Insurance Co.,New Mexico,87915,,3.0,,,,,,,No
2974,Unimerica Insurance Company,Utah,87925,0.0,0.0,0.0,0.0,0.0,,,,No
2975,AMERICAN FIDELITY ASSURANCE COMPANY,Idaho,87941,,,,,,,,,No
2976,Liberty Mutual Insurance Company,Tennessee,87951,,,,,,,,,No
2977,New Era Life Insurance Company of the MidWest,Missouri,87955,29.0,,,,,,,,No
2978,Reserve National Insurance Company,Arizona,87968,,,,,,,,,No
2979,Aetna Life Insurance Company,North Dakota,87988,0.0,0.0,0.0,0.0,0.0,,,,No
2980,John Alden Life Insurance Company,California,87997,729.0,0.0,0.0,0.0,0.0,,,,No
2981,Group Health Incorporated,New York,88000,8884.0,52351.0,259152.62,-1025.08,11794.91,"$259,152.62 ","($1,025.08)","$11,794.91 ",Yes
2982,Thrivent Financial for Lutherans,North Carolina,88036,,,,,,,,,No
2983,United Teachers Associates,Montana,88054,,,,,,,,,No
2984,PreferredOne Insurance Company,Minnesota,88102,880297.0,192143.0,51337472.0,5422835.0,-1029344.0,"$51,337,471.78 ","$5,422,835.32 ","($1,029,344.47)",No
2985,Illinois Mutual Life Insurance Company,Florida,88141,,,,,,,,,No
2986,Life of America,Colorado,88186,135.0,,,,,,,,No
2987,American National Insurance Company,Tennessee,88197,295.0,,0.0,0.0,,,,,No
2988,Independence American Insurance Company,South Carolina,88204,593.0,,,,,,,,No
2989,Trustmark Insurance Company,Utah,88223,,,,,,,,,No
2990,American Income Life Insurance Co,Kansas,88233,,,,,,,,,No
2991,"Dean Health Plan, Inc",Wisconsin,88245,464303.0,266289.0,,,,,,,No
2992,"Sierra Health and Life Insurance Company, Inc.",Minnesota,88265,0.0,0.0,0.0,0.0,0.0,,,,No
2993,Standard Security Life Insurance Company of New York,Wyoming,88269,608.0,2495.0,,,,,,,No
2994,American National Life Insurance Company of Texas,Tennessee,88291,653.0,,0.0,0.0,,,,,No
2995,United American Insurance Co,Massachusetts,88299,,,,,,,,,No
2996,"Sierra Health and Life Insurance Company, Inc.",Idaho,88358,0.0,0.0,0.0,0.0,0.0,,,,No
2997,American Republic Insurance Company,New Jersey,88372,,,,,,,,,No
2998,"HealthKeepers, Inc.",Virginia,88380,891623.0,693806.0,53997035.62,-11644623.0,899570.0,"$53,997,035.62 ","($11,644,622.19)","$899,569.67 ",No
2999,Standard Security Life Insurance Company of New York,Georgia,88383,819.0,724.0,,,,,,,No
3000,Wilton Reassurance Company,Iowa,88423,86.0,,,,,,,,No
3001,Humana Insurance Company,Delaware,88426,,,,,,,,,No
3002,United Teachers Associates,Maryland,88459,158.0,,,,,,,,No
3003,Liberty National Life Insurance Co,Nebraska,88517,,,,,,,,,No
3004,Health Insurance Plan of Greater New York,New York,88582,328572.0,234100.0,24545388.0,-3967655.98,-29042193.77,"$24,545,381.34 ","($3,859,201.90)","($29,376,578.45)",Yes
3005,The United States Life Ins. Co. in the City of New York,District of Columbia,88596,2590.0,,,,,,,,No
3006,American Income Life Insurance Co,Puerto Rico,88635,,,,,,,,,No
3007,UnitedHealthcare Insurance Company,Iowa,88678,510.0,123325.0,0.0,0.0,111696.09,N/E,$-,"$111,696.10 ",No
3008,Nippon Life Insurance Company of America,New York,88713,,34863.0,,,,,,,No
3009,National Guardian Life Insurance Company,Wisconsin,88715,,,,,,,,,No
3010,Liberty National Life Insurance Co,Massachusetts,88726,,,,,,,,,No
3011,Fallon Community Health Plan,Massachusetts,88806,73650.0,456555.0,-265035.1,-2370159.0,-9491071.0,"$2,543,005.00 ",N/A_MA_Issuer,N/A_MA_Issuer,Yes
3012,United Teachers Associates,Wyoming,88811,,,,,,,,,No
3013,PacifiCare Life and Health Insurance Co,Kentucky,88824,0.0,0.0,0.0,0.0,0.0,,,,No
3014,Globe Life and Accident Insurance Co,Tennessee,88889,,,,,,,,,No
3015,"University of Arizona Health Plans-University Healthcare, Inc.",Arizona,88925,0.0,,0.0,0.0,,"$292,653.92 ","$858,090.36 ",$-,Yes
3016,ConnectiCare of Massachusetts,Massachusetts,88950,,27330.0,,,-1243000.0,$0.00 ,N/A_MA_Issuer,N/A_MA_Issuer,No
3017,Companion Life Insurance Company,Nevada,88951,4383.0,,,,,,,,No
3018,Transamerica Life Insurance Company,Oregon,88985,,,,,,,,,No
3019,Transamerica Life Insurance Company,Nevada,89022,,,,,,,,,No
3020,Time Insurance Company,Michigan,89029,130130.0,56167.0,2196259.0,688700.0,-60598.0,"$2,196,259.12 ","$688,700.17 ","($60,605.89)",No
3021,TransAmerica Premier Life Insurance,Utah,89051,,,,,,,,,No
3022,Liberty National Life Insurance Co,Oklahoma,89077,,,,,,,,,No
3023,United Healthcare Life Insurance Company,Wisconsin,89106,14670.0,0.0,1343804.49,1384844.33,0.0,"$1,343,804.49 ","$1,384,844.33 ",$-,No
3024,"HPHC Insurance Company, Inc.",Connecticut,89130,0.0,842.0,,,-130326.0,N/E,$-,"($130,325.86)",No
3025,AMERICAN FIDELITY ASSURANCE COMPANY,New Jersey,89142,,,,,,,,,No
3026,Standard Security Life Insurance Company of New York,Nebraska,89156,147.0,1972.0,,,-3265.91,N/E,$-,"($3,265.91)",No
3027,Aetna Life Insurance Company,New Jersey,89217,20206.0,111072.0,6801229.68,8273636.79,2281721.44,"$6,801,229.68 ","$8,273,636.80 ","$2,281,721.44 ",No
3028,John Alden Life Insurance Company,Louisiana,89219,594.0,1183.0,0.0,0.0,-23668.0,N/E,$-,"($23,667.98)",No
3029,Optima Health Insurance Company,Virginia,89242,65898.0,141545.0,1903358.0,1635203.0,2089955.0,"$1,903,358.10 ","$1,635,203.19 ","$2,089,955.19 ",No
3030,Philadelphia American Life Insurance Company,Illinois,89269,36.0,,,,,,,,No
3031,TransAmerica Premier Life Insurance,Hawaii,89292,,,,,,,,,No
3032,TransAmerica Premier Life Insurance,Vermont,89340,0.0,,,,,,,,No
3033,Sanford Health Plan,North Dakota,89364,12835.0,27498.0,300927.77,128336.66,871040.84,"$300,927.77 ","$128,336.66 ","$871,040.84 ",Yes
3034,Federated Mutual Insurance Company,Arkansas,89365,0.0,7087.0,0.0,0.0,-55065.97,N/E,$-,"($55,065.97)",No
3035,Liberty National Life Insurance Co,Missouri,89467,,,,,,,,,No
3036,New York Life Insurance Company,Guam,89479,0.0,,,,,,,,No
3037,"UnitedHealthcare Plan of the River Valley, Inc.",Virginia,89498,0.0,15726.0,0.0,0.0,-369338.77,N/E,$-,"($369,338.77)",No
3038,"Community Care Health Plan, Inc.",California,89506,,,,,,,,,No
3039,Unimerica Insurance Company,Nebraska,89511,0.0,0.0,0.0,0.0,0.0,,,,No
3040,Golden Rule Insurance Company,Delaware,89587,20201.0,0.0,0.0,0.0,0.0,,,,No
3041,Thrivent Financial for Lutherans,Illinois,89622,,,,,,,,,No
3042,Liberty National Life Insurance Co,Connecticut,89636,,,,,,,,,No
3043,National Foundation Life Insurance Company,Montana,89643,3848.0,,0.0,0.0,,,,,No
3044,John Alden Life Insurance Company,South Carolina,89728,3503.0,2255.0,0.0,0.0,92798.0,N/E,$-,"$92,798.49 ",No
3045,PacifiCare Life and Health Insurance Co,Virginia,89732,0.0,0.0,0.0,0.0,0.0,,,,No
3046,UnitedHealthcare Insurance Company of New York,Texas,89737,0.0,0.0,0.0,0.0,0.0,,,,No
3047,Protective Life Insurance Company,Florida,89745,,288.0,,,,,,,No
3048,The Prudential Insurance Company of America,Oklahoma,89767,,,,,,,,,No
3049,MVP Health Services Corp.,New York,89846,,267907.0,,,-64891.0,N/E,$-,"($241,575.58)",Yes
3050,The United States Life Ins. Co. in the City of New York,Louisiana,89920,5873.0,,,,,,,,No
3051,"Kaiser Foundation Health Plan of Georgia, Inc.",Georgia,89942,292357.0,265388.0,7879843.0,-745461.0,-2820212.0,"$7,879,843.09 ","($745,460.89)","($2,820,212.21)",Yes
3052,Philadelphia American Life Insurance Company,Tennessee,89945,152.0,,,,,,,,No
3053,"Humana Health Plan, Inc.",Nebraska,89951,,,,,,,,,No
3054,Freedom Life Insurance Company of America,Pennsylvania,89958,5161.0,,0.0,0.0,,,,,No
3055,Union Fidelity Life Insurance Company,New Jersey,90000,,,,,,,,,No
3056,"Tufts Associated Health Maintenance Organization, Inc.",Rhode Island,90010,0.0,4580.0,0.0,0.0,-192658.0,N/E,$-,"($192,657.68)",Yes
3057,New York Life Insurance Company,Hawaii,90017,0.0,,,,,,,,No
3058,Cigna Health and Life Insurance Company,Oregon,90025,3.0,713.0,0.0,0.0,0.0,,,,No
3059,Blue Cross Blue Shield of Wisconsin,Wisconsin,90028,57887.0,24396.0,0.0,0.0,-33656.0,N/E,$-,"($33,656.01)",No
3060,UnitedHealthcare Insurance Company,Rhode Island,90117,9037.0,145710.0,0.0,-5364.58,-1735059.64,N/E,$-,"($1,740,424.21)",No
3061,State Farm Mutual Automobile Insurance Company,Iowa,90129,1159.0,0.0,0.0,0.0,0.0,,,,No
3062,United Healthcare Life Insurance Company,Arizona,90169,5753.0,0.0,1610.82,28226.14,0.0,"$1,610.82 ","$28,226.14 ",$-,No
3063,UnitedHealthcare Insurance Company,Oregon,90175,511.0,199773.0,0.0,-33467.34,-1276875.94,N/E,$-,"($1,310,343.26)",No
3064,UnitedHealthcare Insurance Company,Maine,90214,36.0,255.0,0.0,0.0,-9479.76,N/E,$-,"($9,479.76)",No
3065,American States Insurance Company,New York,90222,,,,,,,,,No
3066,American Heritage Life Insurance Company,New Mexico,90240,,,,,,,,,No
3067,"Sierra Health and Life Insurance Company, Inc.",Delaware,90272,0.0,0.0,0.0,0.0,0.0,,,,No
3068,"Kaiser Foundation Health Plan of Mid-Atlantic States, Inc.",Maryland,90296,92214.0,92283.0,1405157.0,-2210326.0,878213.0,"$1,405,157.30 ","($2,210,325.79)","$773,138.57 ",Yes
3069,Union Security Insurance Company,Illinois,90335,0.0,281.0,0.0,0.0,0.0,,,,No
3070,Liberty National Life Insurance Co,Washington,90350,,,,,,,,,No
3071,State Farm Mutual Automobile Insurance Company,Washington,90359,813.0,0.0,0.0,0.0,0.0,,,,No
3072,Teachers Protective Mutual Life Insurance Company,Ohio,90377,,1019.0,,,,,,,No
3073,American General Life Insurance Company,Arkansas,90424,1212.0,,,,,,,,No
3074,Investors Life Insurance Company of North America,Rhode Island,90425,,,,,,,,,No
3075,Wilton Reassurance Company,Idaho,90441,331.0,,,,,,,,No
3076,First Allmerica Financial Life Ins. Co,Wisconsin,90500,,,,,,,,,No
3077,AMERICAN FIDELITY ASSURANCE COMPANY,Pennsylvania,90518,,,,,,,,,No
3078,United Security Life and Health Ins Co,Indiana,90535,0.0,,,,,,,,No
3079,Reliance Standard Life Insurance Company,Indiana,90613,,,,,,,,,No
3080,Sterling Life Insurance Co.,Michigan,90615,,272.0,,,,,,,No
3081,Humana Insurance Company,New Hampshire,90624,,,,,,,,,No
3082,National Foundation Life Insurance Company,Alabama,90632,0.0,,0.0,0.0,,,,,No
3083,The Prudential Insurance Company of America,Maine,90644,,,,,,,,,No
3084,Trustmark Insurance Company,North Dakota,90678,,,,,,,,,No
3085,Philadelphia American Life Insurance Company,United States Virgin Islands,90711,,,,,,,,,No
3086,New Era Life Insurance Company,Maryland,90729,,,,,,,,,No
3087,UnitedHealthcare Insurance Company,New Mexico,90762,464.0,82407.0,0.0,-51469.9,-626280.5,N/E,$-,"($677,750.41)",No
3088,Golden Rule Insurance Company,South Carolina,90806,234499.0,0.0,0.0,0.0,0.0,,,,No
3089,Cigna Health and Life Insurance Company,Rhode Island,90874,0.0,0.0,0.0,0.0,0.0,,,,No
3090,"ValueOptions of California, Inc.",California,90933,,,,,,,,,No
3091,American Income Life Insurance Co,Wyoming,90934,,,,,,,,,No
3092,TransAmerica Premier Life Insurance,Idaho,90945,,,,,,,,,No
3093,Unified Life Insurance Company,Washington,90946,0.0,,0.0,0.0,,,,,No
3094,Guarantee Trust Life Insurance Co.,Connecticut,90963,0.0,,,,,,,,No
3095,TransAmerica Premier Life Insurance,Kentucky,90978,,,,,,,,,No
3096,"Gundersen Health Plan, Inc.",Wisconsin,91058,43139.0,81062.0,5727641.0,417451.0,-2319871.0,"$5,727,641.40 ","$417,451.12 ","($2,319,871.19)",Yes
3097,Liberty Mutual Insurance Company,West Virginia,91063,,,,,,,,,No
3098,"HealthyCT, Inc.",Connecticut,91069,23491.0,3296.0,1944236.0,-569432.0,-532744.0,"$1,944,236.31 ","($569,431.67)","($532,743.60)",Yes
3099,American National Insurance Company,Georgia,91098,147.0,,0.0,0.0,,,,,No
3100,Reserve National Insurance Company,North Carolina,91130,,,,,,,,,No
3101,Transamerica Life Insurance Company,Ohio,91165,,,,,,,,,No
3102,New York Life Insurance Company,Rhode Island,91174,0.0,,,,,,,,No
3103,"Healthfirst PHSP, Inc.",New York,91237,66274.0,,4031461.0,-2649558.0,,"$4,031,460.89 ","($2,649,557.85)",$-,Yes
3104,Companion Life Insurance Company,Ohio,91261,19071.0,,,,,,,,No
3105,National Foundation Life Insurance Company,Washington,91275,19.0,,0.0,0.0,,,,,No
3106,"HealthAmerica Pennsylvania, Inc.",Pennsylvania,91303,50625.0,11798.0,2150140.52,-1253464.21,0.0,"$2,150,140.52 ","($1,253,464.22)",$-,No
3107,All Savers Insurance Company,Maine,91322,0.0,0.0,0.0,0.0,0.0,,,,No
3108,Cigna Health and Life Insurance Company,Ohio,91365,3.0,12297.0,0.0,0.0,0.0,,,,No
3109,Mid-West National Life Insurance Company of Tennessee,Arizona,91370,10777.0,24.0,0.0,0.0,0.0,,,,No
3110,United Teachers Associates,Alaska,91403,0.0,,,,,,,,No
3111,Mid-West National Life Insurance Company of Tennessee,Texas,91412,68506.0,98.0,0.0,0.0,0.0,,,,No
3112,Wilton Reassurance Company,Colorado,91432,13945.0,,,,,,,,No
3113,"Health Net of Arizona, Inc",Arizona,91450,567847.0,130857.0,26048764.0,-26088803.0,-2281726.81,"$26,048,764.45 ","($26,088,803.10)","($2,284,176.05)",No
3114,Trustmark Life Insurance Company,Oklahoma,91469,,1714.0,,0.0,0.0,,,,No
3115,Thrivent Financial for Lutherans,Wisconsin,91497,,,,,,,,,No
3116,Trustmark Insurance Company,District of Columbia,91517,,,,,,,,,No
3117,TransAmerica Premier Life Insurance,Minnesota,91530,,,,,,,,,No
3118,Golden Rule Insurance Company,Idaho,91563,0.0,0.0,0.0,0.0,0.0,,,,No
3119,Trustmark Life Insurance Company,Montana,91586,,627.0,,0.0,0.0,,,,No
3120,Humana Insurance Company,Wisconsin,91604,118386.0,307398.0,3869243.82,3660246.43,2267328.07,"$3,869,243.82 ","$3,660,246.43 ","$2,267,328.07 ",No
3121,Central United Life Insurance Company,West Virginia,91622,,,,,,,,,No
3122,"Madison National Life Insurance Company, Inc.",Nebraska,91646,479.0,984.0,,,,,,,No
3123,Hartford Life & Accident Insurance Company,Virginia,91651,,,,,,,,,No
3124,"Horizon Healthcare Services, Inc.",New Jersey,91661,1725900.0,4342240.0,68139576.0,-9536368.0,10604745.0,"$68,139,576.15 ","($9,536,368.03)","$10,604,745.48 ",Yes
3125,Aetna Life Insurance Company,Texas,91716,503421.0,988673.0,14609683.22,7355591.68,-2896197.55,"$14,609,683.22 ","$7,355,591.68 ","($2,896,197.55)",No
3126,New York Life Insurance Company,Arkansas,91729,0.0,,,,,,,,No
3127,Shelter Life Insurance Company,Iowa,91732,12.0,0.0,0.0,0.0,0.0,,,,No
3128,"Sierra Health and Life Insurance Company, Inc.",Ohio,91734,0.0,0.0,0.0,0.0,0.0,,,,No
3129,AmeriHealth Insurance Company of New Jersey,New Jersey,91762,796319.0,455609.0,62373022.0,-25466472.0,-9401983.0,"$62,373,022.13 ","($27,270,588.68)","($9,401,983.10)",No
3130,TransAmerica Premier Life Insurance,New York,91777,,,,,,,,,No
3131,Wilton Reassurance Company,Alaska,91804,38.0,,,,,,,,No
3132,Liberty National Life Insurance Co,Kentucky,91813,,,,,,,,,No
3133,UnitedHealthcare Insurance Company of New York,Virginia,91827,0.0,0.0,0.0,0.0,0.0,,,,No
3134,TransAmerica Premier Life Insurance,North Dakota,91833,,,,,,,,,No
3135,John Alden Life Insurance Company,Oregon,91837,1930.0,0.0,0.0,0.0,0.0,,,,No
3136,Time Insurance Company,Indiana,91842,176875.0,36418.0,15491453.0,8505434.0,-89122.0,"$15,491,452.97 ","$8,505,433.96 ","($90,416.73)",No
3137,Globe Life and Accident Insurance Co,Nebraska,91855,,,,,,,,,No
3138,State Farm Mutual Automobile Insurance Company,Utah,91901,330.0,0.0,0.0,0.0,0.0,,,,No
3139,Assurity Life Insurance Company,Minnesota,91926,6.0,,,,,,,,No
3140,The United States Life Ins. Co. in the City of New York,Missouri,91946,6233.0,,,,,,,,No
3141,Kanawha Insurance Company ,Montana,91975,54.0,,,,,,,,No
3142,HealthSpan,Ohio,92036,47842.0,499.0,2399678.0,-4194646.0,-11077.0,"$2,399,677.86 ","($4,194,646.37)","($11,076.66)",No
3143,"COMPASS COOPERATIVE MUTUAL HEALTH NETWORK, INC.",Arizona,92045,3529.0,1257.0,1966321.0,800921.0,-12160.0,"$1,966,321.43 ","$800,921.39 ","($12,159.89)",Yes
3144,Cigna Health and Life Insurance Company,Louisiana,92076,64.0,390.0,0.0,0.0,0.0,,,,No
3145,Health Net Life Insurance Company,Florida,92110,,,,,,,,,No
3146,Golden Rule Insurance Company,Maryland,92113,403063.0,0.0,0.0,0.0,0.0,,,,No
3147,"Coventry Health Plan of Fl., Inc.",Florida,92120,183541.0,0.0,1838893.01,727411.53,0.0,"$1,838,893.01 ","$824,165.75 ",$-,No
3148,United American Insurance Co,West Virginia,92122,,,,,,,,,No
3149,All Savers Insurance Company,Colorado,92137,1794.0,0.0,547719.39,481970.63,0.0,"$547,719.39 ","$481,970.65 ",$-,No
3150,Celtic Insurance Company,Kentucky,92164,8.0,,0.0,0.0,,,,,No
3151,American Heritage Life Insurance Company,Colorado,92184,,,,,,,,,No
3152,TransAmerica Premier Life Insurance,North Carolina,92232,,,,,,,,,No
