Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsuance Per Member Month Individual,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
Liberty Mutual Insurance Company,Rhode Island,47477,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Wyoming,47603,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Tennessee,47645,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Ohio,47691,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,North Carolina,47757,155,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
The Prudential Insurance Company of America,Kansas,47767,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Pennsylvania,47818,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Freedom Life Insurance Company of America,Wyoming,47823,1150,,89760.56,18632.31,,"$89,807.28 ","$18,632.31 ",$-,No,78.05266087,78.09328696,16.2020087,16.2020087,#DIV/0!,#VALUE!,0.040626087,0,#VALUE!
United Teachers Associates,New York,47878,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
The Guardian Life Insurance Company of America,California,47911,343,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Trustmark Insurance Company,West Virginia,47912,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Life of America,Mississippi,47944,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New Era Life Insurance Company,Colorado,47988,300,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Transamerica Life Insurance Company,Texas,48003,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Illinois,48011,72,,0,0,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Liberty Mutual Insurance Company,Massachusetts,48023,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Michigan,48104,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Wisconsin,48139,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,New York,48149,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,New York,48177,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Michigan,48183,9945,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
American General Life Insurance Company,Oregon,48188,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Maryland,48329,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Utah,48361,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hartford Life and Annuity Insurance Company,Louisiana,48375,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Iowa,48504,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Security Life Insurance Company of New York,Iowa,48569,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Arizona,48748,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,Missouri,48786,125,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Educators Mutual Insurance Association,Idaho,48872,,,,,,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Washington,48894,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Mississippi,48902,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Southwest Service Life Insurance Company,Texas,48924,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,North Dakota,49262,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Wyoming,49290,12,,0,-7210.87,,$0.00 ,"($7,210.87)",$-,No,0,0,-600.9058333,-600.9058333,#DIV/0!,#VALUE!,0,0,#VALUE!
The Guardian Life Insurance Company of America,Mississippi,49327,96,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Humana Insurance Company,Kentucky,49372,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,Virginia,49428,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Mississippi,49520,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Humana Medical Plan, Inc. ",North Carolina,49700,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Wisconsin,49830,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Michigan,50140,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Oklahoma,50201,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Oscar Insurance Corporation of New Jersey,New Jersey,50221,27789,,944744.18,-1957295.7,,"$945,235.86 ","($1,957,295.70)",$-,No,33.99705567,34.014749,-70.43418979,-70.43418979,#DIV/0!,#VALUE!,0.017693332,0,#VALUE!
Central United Life Insurance Company,Florida,50237,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",West Virginia,50330,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Washington,50346,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,North Dakota,50474,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Assurity Life Insurance Company,Texas,50486,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
American Income Life Insurance Co,Minnesota,50514,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Guam,50544,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Colorado,50598,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Alabama,50621,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Nebraska,50713,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hartford Life and Annuity Insurance Company,California,50786,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American States Insurance Company,Arkansas,50823,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,North Carolina,50877,16802,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
United American Insurance Co,Kentucky,50889,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,California,50931,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Alaska,50970,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Utah,51125,2060,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Nationwide Life Insurance Company,Pennsylvania,51133,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
American States Insurance Company,Ohio,51184,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Virginia,51207,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Oregon,51217,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Massachusetts,51259,13178,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Reserve National Insurance Company,Wyoming,51270,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,New Mexico,51368,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
First Allmerica Financial Life Ins. Co,Washington,51438,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
The Prudential Insurance Company of America,Florida,51440,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,New Mexico,51514,90,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
First Allmerica Financial Life Ins. Co,Minnesota,51526,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Liberty National Life Insurance Co,West Virginia,51573,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Pennsylvania,51575,30483,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
United Teachers Associates,Kentucky,51604,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Transamerica Life Insurance Company,Tennessee,51875,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Life Insurance Company of Texas,Nevada,51918,978,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Union Fidelity Life Insurance Company,Illinois,51922,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,North Dakota,51950,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Humana Insurance Company,Iowa,51965,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Rhode Island,52055,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Texas,52061,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Massachusetts,52125,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Pennsylvania,52141,300,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
The United States Life Ins. Co. in the City of New York,Texas,52218,29575,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Philadelphia American Life Insurance Company,North Carolina,52229,83,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Central United Life Insurance Company,Mississippi,52437,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,North Dakota,52439,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,New Jersey,52450,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Nevada,52543,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Puerto Rico,52692,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Labor Life Insurance Company,Massachusetts,52694,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Molina Healthcare of Wisconsin, Inc.",Wisconsin,52697,281235,,13394748,-4595004,,"$13,401,718.71 ","($4,595,003.52)",$-,No,47.62831084,47.65309691,-16.3386634,-16.33866169,#DIV/0!,#VALUE!,0.024786069,1.70676E-06,#VALUE!
American National Life Insurance Company of Texas,Indiana,52706,5850,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
American General Life Insurance Company,Missouri,52748,96,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Trustmark Insurance Company,Maryland,52754,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Tennessee,52802,528,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
American Heritage Life Insurance Company,Michigan,52936,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Mississippi,52981,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Santa Cruz-Monterey-Merced  Managed Medical Care Commission,California,53011,,,,,,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,South Dakota,53026,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Humana Health Plan, Inc.",Idaho,53096,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Massachusetts,53258,24,,0,0,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Life of America,Alabama,53304,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
New Era Life Insurance Company,Florida,53310,538,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
The Prudential Insurance Company of America,Kentucky,53377,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Utah,53413,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Investors Life Insurance Company of North America,Minnesota,53516,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Tennessee,53529,300,,0,0,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Trustmark Insurance Company,Montana,53552,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Educators Health Plans Life, Accident, and Health, Inc",Arizona,53613,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,South Carolina,53617,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,Nevada,53694,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
BridgeSpan Health Company,Washington,53732,122870,,5154985,3046204,,"$5,157,667.99 ","$3,046,204.15 ",$-,No,41.95478962,41.97662562,24.7920892,24.79209042,#DIV/0!,#VALUE!,0.021836006,1.2208E-06,#VALUE!
American Family Mutual Insurance Company,Indiana,53753,12,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Freedom Life Insurance Company of America,Texas,53799,6793,,939206.06,808134.93,,"$939,694.86 ","$808,134.93 ",$-,No,138.2608656,138.332822,118.9658369,118.9658369,#DIV/0!,#VALUE!,0.071956426,0,#VALUE!
New Era Life Insurance Company of the MidWest,Kentucky,53841,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Alabama,53932,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Maryland,54059,68,,0,0,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
American Republic Insurance Company,Maryland,54132,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Molina Healthcare of Florida, Inc",Florida,54172,1722261,,19011514.77,-218903904.1,,"$19,021,408.95 ","($218,903,904.11)",$-,No,11.03869551,11.04444039,-127.1026308,-127.1026308,#DIV/0!,#VALUE!,0.005744878,-5.80634E-09,#VALUE!
Philadelphia American Life Insurance Company,Alabama,54189,53,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
"CareSource Indiana, Inc.",Indiana,54192,203446,,4107893,-18119293,,"$4,110,030.68 ","($18,119,292.96)",$-,Yes,20.19156435,20.2020717,-89.06192798,-89.06192778,#DIV/0!,#VALUE!,0.010507358,1.96612E-07,#VALUE!
American Heritage Life Insurance Company,Kentucky,54437,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,South Carolina,54551,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,New Hampshire,54559,2971,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Wilton Reassurance Company,Utah,54577,484,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Kanawha Insurance Company ,Delaware,54635,98,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Reserve National Insurance Company,Kansas,54685,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Freedom Life Insurance Company of America,Kansas,54822,857,,0,12212.08,,$0.00 ,"$12,212.08 ",$-,No,0,0,14.24980163,14.24980163,#DIV/0!,#VALUE!,0,0,#VALUE!
Reliance Standard Life Insurance Company,Nebraska,54890,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Washington,54918,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Wisconsin,54974,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Indiana,55086,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Vermont,55232,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Republic Insurance Company,Virginia,55236,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company,Michigan,55288,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company of the MidWest,Alabama,55318,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Minnesota,55413,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,North Carolina,55440,101,,,,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
Union Fidelity Life Insurance Company,Minnesota,55459,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Freedom Life Insurance Company of America,West Virginia,55553,462,,0,0,,,,,No,0,0,0,0,#DIV/0!,#DIV/0!,0,0,#DIV/0!
