,Company Name_x,State_x,HIOS ID,MM Individual_x,MM Small Group_x,Expected Reinsurance_x,Expected Risk Adjustment Individual_x,Expected Risk Adjustment Small Group_x,Actual Reinsurance_x,Actual Risk Adjustment Individual_x,Actual Risk Adjustment Small Group_x,Nonprofit_x,Expected Reinsurance Per Member Month_x,Actual Reinsurance Per Member Month_x,Expected Risk Adjustment Per Member Month Individual_x,Actual Risk Adjustment Per Member Month Individual_x,Expected Risk Adjustment Per Member Month Small Group_x,Actual Risk Adjustment Per Member Month Small Group_x,Difference in Reinsurance Per Member Month_x,Difference in Risk Adjustment Individual Per Member Month_x,Difference in Risk Adjustment Small Group Per Member Month_x,Total Loss 2014,Company Name_y,State_y,MM Individual_y,MM Small Group_y,Expected Reinsurance_y,Expected Risk Adjustment Individual_y,Expected Risk Adjustment Small Group_y,Actual Reinsurance_y,Actual Risk Adjustment Individual_y,Actual Risk Adjustment Small Group_y,Nonprofit_y,Expected Reinsurance Per Member Month_y,Actual Reinsurance Per Member Month_y,Expected Risk Adjustment Per Member Month Individual_y,Actual Risk Adjustment Per Member Month Individual_y,Expected Risk Adjustment Per Member Month Small Group_y,Actual Risk Adjustment Per Member Month Small Group_y,Difference in Reinsurance Per Member Month_y,Difference in Risk Adjustment Individual Per Member Month_y,Difference in Risk Adjustment Small Group Per Member Month_y
1762,Celtic Insurance Company,Alaska,84982.0,784.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Celtic Insurance Company,Alaska,0.0,,0.0,0.0,,,,,No,,,,,,,,,
1763,The Guardian Life Insurance Company of America,Maryland,85008.0,185.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,Maryland,139.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1764,The Guardian Life Insurance Company of America,Illinois,85099.0,60.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,Illinois,54.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1765,Nationwide Life Insurance Company,California,85176.0,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Nationwide Life Insurance Company,California,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1766,United Teachers Associates,Virginia,85439.0,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Teachers Associates,Virginia,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1767,AMERICAN FIDELITY ASSURANCE COMPANY,Michigan,85500.0,105.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,AMERICAN FIDELITY ASSURANCE COMPANY,Michigan,,,,,,,,,No,,,,,,,,,
1768,Enterprise Life Insurance Company,Louisiana,85570.0,1459.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Enterprise Life Insurance Company,Louisiana,1149.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1769,American National Insurance Company,Florida,85774.0,441.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Insurance Company,Florida,297.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1770,National Foundation Life Insurance Company,North Carolina,85958.0,8474.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,National Foundation Life Insurance Company,North Carolina,6476.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1771,United Teachers Associates,Hawaii,85983.0,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Teachers Associates,Hawaii,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1772,Companion Life Insurance Company,Kansas,86067.0,11499.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Companion Life Insurance Company,Kansas,105.0,437.0,,,,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1773,American Family Mutual Insurance Company,Iowa,86082.0,1224.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American Family Mutual Insurance Company,Iowa,48.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1774,Kanawha Insurance Company ,Tennessee,86134.0,812.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Kanawha Insurance Company ,Tennessee,717.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1775,New York Life Insurance Company,Florida,86171.0,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New York Life Insurance Company,Florida,24.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1776,Celtic Insurance Company,Maine,86305.0,8.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Celtic Insurance Company,Maine,0.0,,0.0,0.0,,,,,No,,,,,,,,,
1777,Sunshine State Health Plan,Florida,86382.0,3460.0,,0.0,-198355.63,,0.0,-198355.63,,No,0.0,0.0,-57.33,-57.33,,,0.0,0.0,,,Sunshine State Health Plan,Florida,187352.0,,1183808.05,-26584661.51,,1184424.15,-26584661.51,,No,6.32,6.32,-141.9,-141.9,,,0.0,0.0,
1778,Companion Life Insurance Company,District of Columbia,86532.0,709.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Companion Life Insurance Company,District of Columbia,15.0,4.0,,,,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1779,Wilton Reassurance Company,New Mexico,86854.0,1245.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,New Mexico,467.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1780,Kanawha Insurance Company ,California,86859.0,864.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Kanawha Insurance Company ,California,777.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1781,American National Life Insurance Company of Texas,West Virginia,87124.0,455.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Life Insurance Company of Texas,West Virginia,384.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1782,Celtic Insurance Company,Iowa,87194.0,377.0,,0.0,-1222.36,,0.0,-1222.36,,No,0.0,0.0,-3.24,-3.24,,,0.0,0.0,,,Celtic Insurance Company,Iowa,0.0,,0.0,0.0,,,,,No,,,,,,,,,
1783,Wilton Reassurance Company,Arkansas,87244.0,860.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Arkansas,344.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1784,National Foundation Life Insurance Company,Michigan,87318.0,60.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,National Foundation Life Insurance Company,Michigan,60.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1785,The Guardian Life Insurance Company of America,Louisiana,87390.0,273.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,Louisiana,240.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1786,The United States Life Ins. Co. in the City of New York,New York,87414.0,842480.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,New York,809582.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1787,Wilton Reassurance Company,Puerto Rico,87432.0,60.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Puerto Rico,34.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1788,Philadelphia American Life Insurance Company,Texas,87445.0,213.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Philadelphia American Life Insurance Company,Texas,160.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1789,New York Life Insurance Company,Virginia,87585.0,60.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New York Life Insurance Company,Virginia,60.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1790,Kanawha Insurance Company ,New Jersey,87740.0,671.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Kanawha Insurance Company ,New Jersey,600.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1791,The United States Life Ins. Co. in the City of New York,Maine,87756.0,2327.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,Maine,2154.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1792,Life of America,Georgia,87844.0,37.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Life of America,Georgia,30.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1793,Celtic Insurance Company,District of Columbia,87881.0,191.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Celtic Insurance Company,District of Columbia,0.0,,0.0,0.0,,,,,No,,,,,,,,,
1794,New Era Life Insurance Company of the MidWest,Missouri,87955.0,29.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New Era Life Insurance Company of the MidWest,Missouri,13.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1795,Life of America,Colorado,88186.0,135.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Life of America,Colorado,120.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1796,American National Insurance Company,Tennessee,88197.0,295.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Insurance Company,Tennessee,226.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1797,American National Life Insurance Company of Texas,Tennessee,88291.0,653.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Life Insurance Company of Texas,Tennessee,439.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1798,Wilton Reassurance Company,Iowa,88423.0,86.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Iowa,32.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1799,United Teachers Associates,Maryland,88459.0,158.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Teachers Associates,Maryland,136.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1800,The United States Life Ins. Co. in the City of New York,District of Columbia,88596.0,2590.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,District of Columbia,2433.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1801,Companion Life Insurance Company,Nevada,88951.0,4383.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Companion Life Insurance Company,Nevada,39.0,241.0,,,,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802,Philadelphia American Life Insurance Company,Illinois,89269.0,36.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Philadelphia American Life Insurance Company,Illinois,18.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1803,National Foundation Life Insurance Company,Montana,89643.0,3848.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,National Foundation Life Insurance Company,Montana,2998.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1804,The United States Life Ins. Co. in the City of New York,Louisiana,89920.0,5873.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,Louisiana,5461.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1805,Philadelphia American Life Insurance Company,Tennessee,89945.0,152.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Philadelphia American Life Insurance Company,Tennessee,115.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1806,Freedom Life Insurance Company of America,Pennsylvania,89958.0,5161.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Freedom Life Insurance Company of America,Pennsylvania,3304.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1807,American General Life Insurance Company,Arkansas,90424.0,1212.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American General Life Insurance Company,Arkansas,948.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1808,Wilton Reassurance Company,Idaho,90441.0,331.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Idaho,124.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1809,American National Insurance Company,Georgia,91098.0,147.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Insurance Company,Georgia,125.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1810,Companion Life Insurance Company,Ohio,91261.0,19071.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Companion Life Insurance Company,Ohio,225.0,145.0,,,,,,,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1811,National Foundation Life Insurance Company,Washington,91275.0,19.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,National Foundation Life Insurance Company,Washington,12.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1812,Wilton Reassurance Company,Colorado,91432.0,13945.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Colorado,7039.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1813,Wilton Reassurance Company,Alaska,91804.0,38.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Alaska,17.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1814,The United States Life Ins. Co. in the City of New York,Missouri,91946.0,6233.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,Missouri,5454.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1815,Kanawha Insurance Company ,Montana,91975.0,54.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Kanawha Insurance Company ,Montana,54.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1816,Celtic Insurance Company,Kentucky,92164.0,8.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Celtic Insurance Company,Kentucky,0.0,,0.0,0.0,,,,,No,,,,,,,,,
1817,Standard Life and Accident Insurance Company,Illinois,92329.0,118.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Standard Life and Accident Insurance Company,Illinois,63.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1818,The Guardian Life Insurance Company of America,Massachusetts,92866.0,120.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,Massachusetts,84.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1819,New Era Life Insurance Company,Oklahoma,92896.0,227.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New Era Life Insurance Company,Oklahoma,81.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1820,Union Labor Life Insurance Company,Texas,93426.0,29.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Union Labor Life Insurance Company,Texas,1.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1821,American National Insurance Company,Hawaii,93496.0,12.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Insurance Company,Hawaii,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1822,The United States Life Ins. Co. in the City of New York,Minnesota,93583.0,3647.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,Minnesota,3650.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1823,The Guardian Life Insurance Company of America,New Jersey,93627.0,36.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,New Jersey,34.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1824,Kanawha Insurance Company ,Georgia,93790.0,933.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Kanawha Insurance Company ,Georgia,792.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1825,Wilton Reassurance Company,Wyoming,94050.0,288.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Wyoming,107.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1826,National Foundation Life Insurance Company,South Carolina,94608.0,2014.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,National Foundation Life Insurance Company,South Carolina,1415.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1827,New Era Life Insurance Company,Louisiana,94659.0,398.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New Era Life Insurance Company,Louisiana,193.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1828,The United States Life Ins. Co. in the City of New York,Washington,94845.0,5387.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,Washington,5169.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1829,American National Life Insurance Company of Texas,Nebraska,94905.0,4160.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Life Insurance Company of Texas,Nebraska,3046.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1830,Celtic Insurance Company,Louisiana,95186.0,9.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Celtic Insurance Company,Louisiana,0.0,,0.0,0.0,,,,,No,,,,,,,,,
1831,The United States Life Ins. Co. in the City of New York,Wisconsin,95255.0,5790.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,Wisconsin,5712.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1832,Kanawha Insurance Company ,Alabama,95307.0,462.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Kanawha Insurance Company ,Alabama,401.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1833,Wilton Reassurance Company,Ohio,95405.0,315.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Ohio,107.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1834,Assurity Life Insurance Company,California,95451.0,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Assurity Life Insurance Company,California,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1835,Freedom Life Insurance Company of America,Virginia,95737.0,555.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Freedom Life Insurance Company of America,Virginia,144.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1836,American National Life Insurance Company of Texas,Pennsylvania,95978.0,822.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American National Life Insurance Company of Texas,Pennsylvania,567.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1837,Wilton Reassurance Company,Wisconsin,96005.0,114.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Wisconsin,42.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1838,The United States Life Ins. Co. in the City of New York,Colorado,96126.0,7397.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The United States Life Ins. Co. in the City of New York,Colorado,6864.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1839,Companion Life Insurance Company,Delaware,96320.0,1569.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Companion Life Insurance Company,Delaware,81.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1840,Philadelphia American Life Insurance Company,Arizona,96346.0,38.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Philadelphia American Life Insurance Company,Arizona,21.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1841,Standard Life and Accident Insurance Company,Nebraska,96402.0,399.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Standard Life and Accident Insurance Company,Nebraska,327.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1842,The Guardian Life Insurance Company of America,West Virginia,96480.0,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,West Virginia,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1843,Wilton Reassurance Company,Indiana,96578.0,200.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Indiana,82.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1844,New York Life Insurance Company,California,96618.0,84.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New York Life Insurance Company,California,84.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1845,United Teachers Associates,Connecticut,96669.0,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Teachers Associates,Connecticut,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1846,Freedom Life Insurance Company of America,Mississippi,96734.0,21.0,,0.0,48146.0,,0.0,48146.28,,No,0.0,0.0,2292.67,2292.68,,,0.0,0.01,,,Freedom Life Insurance Company of America,Mississippi,21.0,,0.0,-289.05,,0.0,-289.05,,No,0.0,0.0,-13.76,-13.76,,,0.0,0.0,
1847,Standard Life and Accident Insurance Company,Mississippi,96820.0,60.0,,0.0,0.0,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Standard Life and Accident Insurance Company,Mississippi,60.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1848,Union Labor Life Insurance Company,Michigan,96861.0,9.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Union Labor Life Insurance Company,Michigan,,,,,,,,,No,,,,,,,,,
1849,Wilton Reassurance Company,Louisiana,97096.0,2850.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,Louisiana,1123.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1850,New York Life Insurance Company,Delaware,97131.0,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New York Life Insurance Company,Delaware,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1851,New Era Life Insurance Company,Tennessee,97506.0,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New Era Life Insurance Company,Tennessee,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1852,The Guardian Life Insurance Company of America,Kentucky,97530.0,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,Kentucky,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1853,Wilton Reassurance Company,New Jersey,97540.0,127.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Wilton Reassurance Company,New Jersey,44.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1854,New York Life Insurance Company,Colorado,97604.0,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New York Life Insurance Company,Colorado,12.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1855,New York Life Insurance Company,Pennsylvania,97645.0,36.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New York Life Insurance Company,Pennsylvania,36.0,0.0,0.0,0.0,0.0,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1856,American Family Mutual Insurance Company,Ohio,97955.0,106.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American Family Mutual Insurance Company,Ohio,0.0,,,,,,,,No,,,,,,,,,
1857,United Teachers Associates,Illinois,97965.0,20.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,United Teachers Associates,Illinois,0.0,,,,,,,,No,,,,,,,,,
1858,The Guardian Life Insurance Company of America,Nebraska,98048.0,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,The Guardian Life Insurance Company of America,Nebraska,12.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1859,New Era Life Insurance Company,South Carolina,98099.0,1293.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,New Era Life Insurance Company,South Carolina,968.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1860,American General Life Insurance Company,Mississippi,98218.0,3936.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,American General Life Insurance Company,Mississippi,3060.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1861,"Total Health Care, Inc.",Michigan,98289.0,189.0,,,,,,,,Yes,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,"Total Health Care, Inc.",Michigan,0.0,,,,,,,,Yes,,,,,,,,,
1862,Companion Life Insurance Company,Massachusetts,98489.0,3.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Companion Life Insurance Company,Massachusetts,9.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
1863,Assurity Life Insurance Company,Nebraska,98754.0,24.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,,0,Assurity Life Insurance Company,Nebraska,48.0,,,,,,,,No,0.0,0.0,0.0,0.0,,,0.0,0.0,
