Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
Kanawha Insurance Company ,Oregon,64671,75,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Standard Life and Accident Insurance Company,Colorado,64713,2004,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Wilton Reassurance Company,Rhode Island,64769,19,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Philadelphia American Life Insurance Company,Wisconsin,64808,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,South Carolina,65156,657,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Heritage Life Insurance Company,Kansas,65180,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Texas,65200,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Humana Benefit Plan of Illinois, Inc.",North Dakota,65327,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Illinois Mutual Life Insurance Company,Minnesota,65408,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Phoenix Health Plans, Inc.",Arizona,65441,3091,,0,-247329,,0.00,-247328.86,$-,No,0.00,0.00,-80.02,-80.02,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
LifeWise Assurance Company,Washington,65464,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Freedom Life Insurance Company of America,Nevada,65693,1,,0,1509.65,,0.00,1509.65,$-,No,0.00,0.00,1509.65,1509.65,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Deseret Mutual Insurance Company,Utah,65771,,,,,,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Medica Health Plans of Wisconsin,Minnesota,65847,76939,,6049811.83,7678426.35,,6052960.34,7678426.35,$-,Yes,78.63,78.67,99.80,99.80,#DIV/0!,#VALUE!,0.04,0.00,#VALUE!
Reserve National Insurance Company,Tennessee,65985,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Wisconsin,66161,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Insurance Company,New Jersey,66331,104,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Income Life Insurance Co,Alabama,66332,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Colorado,66351,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,District of Columbia,66359,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Nebraska,66405,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Insurance Company,Illinois,66426,88,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Liberty Mutual Insurance Company,New Jersey,66433,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,New Mexico,66440,36,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Trustmark Insurance Company,Arkansas,66520,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Georgia,66528,72,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
"Denver Health Medical Plan, Inc.",Colorado,66699,2857,,90409.74,1557813.7,,90456.80,2379976.29,$-,Yes,31.64,31.66,545.26,833.03,#DIV/0!,#VALUE!,0.02,287.77,#VALUE!
American National Life Insurance Company of Texas,Texas,66719,7947,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Philadelphia American Life Insurance Company,Indiana,66746,24,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Standard Life and Accident Insurance Company,Arkansas,66764,133,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Reliance Standard Life Insurance Company,Arizona,66915,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,New Mexico,66916,2615,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Life Insurance Company of Texas,Iowa,66956,2064,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
New Era Life Insurance Company of the MidWest,Texas,67141,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,New Hampshire,67167,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Central United Life Insurance Company,Arizona,67214,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,North Carolina,67257,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Utah,67335,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,Missouri,67358,695,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Transamerica Life Insurance Company,Louisiana,67368,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"UPMC Health Benefits, Inc.",Pennsylvania,67430,54344,,,,,,,,Yes,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Humana Insurance Company,Pennsylvania,67499,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company,Nebraska,67547,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
4 Ever Life Insurance Company,Missouri,67636,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Piedmont WellStar HealthPlans, Inc.",Georgia,67657,418,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Insurance Company,Nevada,67809,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
New Era Life Insurance Company,New York,67894,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Kansas,68151,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,Ohio,68158,70,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Central United Life Insurance Company,Alabama,68256,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty National Life Insurance Co,Pennsylvania,68302,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Nevada,68307,93,,0,-10494.15,,0.00,-10494.15,$-,No,0.00,0.00,-112.84,-112.84,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Unified Life Insurance Company,Georgia,68321,24,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Illinois Mutual Life Insurance Company,Tennessee,68411,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"IlliniCare Health Plan, Inc.",Illinois,68432,16369,,41625.12,-2232448.52,,41646.79,-2232448.52,$-,No,2.54,2.54,-136.38,-136.38,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
United States Branch of the Sun Life Assurance Company of Canada,North Carolina,68448,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
TransAmerica Premier Life Insurance,Maine,68468,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Insurance Company,Oklahoma,68503,96,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Republic Insurance Company,South Dakota,68537,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Mississippi,68597,1366,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Freedom Life Insurance Company of America,Ohio,68648,1664,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Mutual of Omaha Insurance Company,Florida,68653,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,United States Virgin Islands,68677,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Oregon,68685,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Georgia,68687,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Alabama,68697,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Family Mutual Insurance Company,Utah,68713,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,North Carolina,68822,765,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
TransAmerica Premier Life Insurance,Guam,68880,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Idaho,68903,1542,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
TransAmerica Premier Life Insurance,Arizona,68948,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,Maryland,68954,360,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Mutual of Omaha Insurance Company,New Jersey,68963,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Washington,69061,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Georgia,69092,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,Michigan,69094,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hartford Life & Accident Insurance Company,Pennsylvania,69150,12,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Central United Life Insurance Company,Illinois,69225,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,Maine,69227,2,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Republic Insurance Company,West Virginia,69260,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Michigan,69315,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Missouri,69341,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Companion Life Insurance Company,Wisconsin,69380,78,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Celtic Insurance Company,Minnesota,69406,84,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
TransAmerica Premier Life Insurance,Georgia,69455,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AXA Equitable Life Insurance Company,New York,69500,25812,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Celtic Insurance Company,Arizona,69636,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Alabama,69644,6059,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Reliance Standard Life Insurance Company,Texas,69758,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Illinois Mutual Life Insurance Company,North Dakota,69840,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,New York,69943,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,Alaska,69989,54,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
National Foundation Life Insurance Company,Ohio,70000,353,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Insurance Company,Utah,70009,48,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Insurance Company,Washington,70025,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Labor Life Insurance Company,Connecticut,70086,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,Tennessee,70111,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Indiana,70189,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Health Choice Insurance Co.,Arizona,70239,58566,,1542063.16,-5999819.7,,1542865.70,-5999819.70,$-,No,26.33,26.34,-102.45,-102.45,#DIV/0!,#VALUE!,0.01,0.00,#VALUE!
TransAmerica Premier Life Insurance,Maryland,70263,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Colorado,70337,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Life Insurance Company of Texas,South Carolina,70364,1906,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Reliance Standard Life Insurance Company,Pennsylvania,70406,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Florida,70446,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,New Jersey,70450,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Enterprise Life Insurance Company,Arizona,70594,1274,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Philadelphia American Life Insurance Company,Connecticut,70636,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,Montana,70663,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Pekin Life Insurance Company,Michigan,70737,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American States Insurance Company,Kentucky,70738,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,Rhode Island,70760,24,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
New Era Life Insurance Company,Kansas,70780,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Life Insurance Company of Texas,Alabama,70808,3,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Standard Life and Accident Insurance Company,Iowa,70956,256,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Kanawha Insurance Company ,Nevada,71114,116,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Thrivent Financial for Lutherans,Minnesota,71135,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,New Hampshire,71141,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Family Mutual Insurance Company,Oregon,71147,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Alabama,71210,60,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Humana Insurance Company,Wyoming,71260,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Southwest Life & Health Insurance Co.,Louisiana,71263,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Florida,71340,169,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
United American Insurance Co,Oregon,71369,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Washington,71401,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
"Moda Health Plan, Inc.",California,71408,202,,0,-40592,,0.00,-40592.40,$-,No,0.00,0.00,-200.95,-200.95,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
"Avera Health Plans, Inc. ",Nebraska,71429,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Virginia,71457,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Arizona,71464,11506,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Humana Insurance Company,West Virginia,71488,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Indiana,71518,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kaiser Permanente Insurance Company,Virginia,71562,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Insurance Company,Louisiana,71790,60,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Louisiana,71822,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Sendero Health Plans, inc.",Texas,71837,72061,,1493473,-4376813,,1494250.38,-4376813.02,$-,Yes,20.73,20.74,-60.74,-60.74,#DIV/0!,#VALUE!,0.01,0.00,#VALUE!
Companion Life Insurance Company,North Dakota,71860,6,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Republic Insurance Company,Connecticut,71879,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Insurance Company,Maryland,71969,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"WELLCARE HEALTH PLANS OF KENTUCKY, INC",Kentucky,72001,486,,11974.7,-53971.89,,11980.94,-53971.89,$-,No,24.64,24.65,-111.05,-111.05,#DIV/0!,#VALUE!,0.01,0.00,#VALUE!
CHRISTUS Health Plan,New Mexico,72034,3453,,22683.29,-455783.17,,22695.10,-455783.17,$-,Yes,6.57,6.57,-132.00,-132.00,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Freedom Life Insurance Company of America,Missouri,72064,563,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The Prudential Insurance Company of America,Pennsylvania,72071,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
